kernel,class,language,time

EP,S,C,5420831
EP,S,GO,682772025
EP,S,C,5302344
EP,S,GO,682147959
EP,S,C,5248015
EP,S,GO,682223983
EP,S,C,5304290
EP,S,GO,682606104
EP,S,C,5277995
EP,S,GO,683675297
EP,S,C,5461994
EP,S,GO,684432545
EP,S,C,5283262
EP,S,GO,684479835
EP,S,C,5500970
EP,S,GO,682460361
EP,S,C,5288623
EP,S,GO,682784716
EP,S,C,5403239
EP,S,GO,683118440
EP,S,C,5250083
EP,S,GO,681972430
EP,S,C,5367383
EP,S,GO,681194463
EP,S,C,5352176
EP,S,GO,682485330
EP,S,C,5331628
EP,S,GO,683581183
EP,S,C,5383229
EP,S,GO,682919664
EP,S,C,5475388
EP,S,GO,682961512
EP,S,C,5269319
EP,S,GO,682812871
EP,S,C,5429642
EP,S,GO,684141669
EP,S,C,5346767
EP,S,GO,682417109
EP,S,C,5257420
EP,S,GO,683426615
EP,S,C,5298880
EP,S,GO,683062788
EP,S,C,5280233
EP,S,GO,681493444
EP,S,C,5318966
EP,S,GO,682642384
EP,S,C,5314003
EP,S,GO,682542066
EP,S,C,5314059
EP,S,GO,682399395
EP,S,C,5324528
EP,S,GO,681152257
EP,S,C,5268572
EP,S,GO,683096119
EP,S,C,5327453
EP,S,GO,683699096
EP,S,C,5399755
EP,S,GO,685849363
EP,S,C,5639756
EP,S,GO,682730790
EP,W,C,56156197
EP,W,GO,1442726792
EP,W,C,56444121
EP,W,GO,1362343658
EP,W,C,56885892
EP,W,GO,1360497947
EP,W,C,56232431
EP,W,GO,1362635710
EP,W,C,56037064
EP,W,GO,1362260642
EP,W,C,56594763
EP,W,GO,1360615941
EP,W,C,55961145
EP,W,GO,1364635106
EP,W,C,56273389
EP,W,GO,1363753113
EP,W,C,57115891
EP,W,GO,1363092025
EP,W,C,56683769
EP,W,GO,1365390840
EP,W,C,56365510
EP,W,GO,1364919503
EP,W,C,56879129
EP,W,GO,1361835136
EP,W,C,57172436
EP,W,GO,1363306057
EP,W,C,56451020
EP,W,GO,1364432024
EP,W,C,56451583
EP,W,GO,1363854226
EP,W,C,56991291
EP,W,GO,1361267686
EP,W,C,56619859
EP,W,GO,1465219197
EP,W,C,56100308
EP,W,GO,1363926880
EP,W,C,56524850
EP,W,GO,1364914164
EP,W,C,56642046
EP,W,GO,1371148013
EP,W,C,57195587
EP,W,GO,1365936801
EP,W,C,56057201
EP,W,GO,1362823657
EP,W,C,56621034
EP,W,GO,1362470182
EP,W,C,56142670
EP,W,GO,1367512244
EP,W,C,56582179
EP,W,GO,1362605293
EP,W,C,55701863
EP,W,GO,1364095526
EP,W,C,56473402
EP,W,GO,1362228629
EP,W,C,56036386
EP,W,GO,1363678975
EP,W,C,56054014
EP,W,GO,1361225914
EP,W,C,56456457
EP,W,GO,1362492129
EP,A,C,425250389
EP,A,GO,10960076864
EP,A,C,425137064
EP,A,GO,10884339122
EP,A,C,424971612
EP,A,GO,10955930817
EP,A,C,425875921
EP,A,GO,10881206497
EP,A,C,425748826
EP,A,GO,10941260240
EP,A,C,425653395
EP,A,GO,10884730947
EP,A,C,441627354
EP,A,GO,10968791709
EP,A,C,424989570
EP,A,GO,10874035032
EP,A,C,428822049
EP,A,GO,10980734518
EP,A,C,437682546
EP,A,GO,10886824671
EP,A,C,433871167
EP,A,GO,10974427899
EP,A,C,427682139
EP,A,GO,10888435835
EP,A,C,444412590
EP,A,GO,10961761511
EP,A,C,426548217
EP,A,GO,10883362592
EP,A,C,442713835
EP,A,GO,10959676359
EP,A,C,430553716
EP,A,GO,10881017647
EP,A,C,429758852
EP,A,GO,10933959902
EP,A,C,433907625
EP,A,GO,10877164114
EP,A,C,431216628
EP,A,GO,10981303154
EP,A,C,437230980
EP,A,GO,10882311245
EP,A,C,431480105
EP,A,GO,10965754778
EP,A,C,432514215
EP,A,GO,10879256851
EP,A,C,441534974
EP,A,GO,10923419187
EP,A,C,426749577
EP,A,GO,10885210979
EP,A,C,447647336
EP,A,GO,10945398513
EP,A,C,424911209
EP,A,GO,10896697718
EP,A,C,424738393
EP,A,GO,10982253214
EP,A,C,425243260
EP,A,GO,10876545290
EP,A,C,425032146
EP,A,GO,10934517904
EP,A,C,433616362
EP,A,GO,10879380193
